order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at
1,53,746,224,2,cash,2017-03-13 12:36
2,92,925,90,1,cash,2017-03-03 17:38
3,44,861,144,1,cash,2017-03-14 4:23
4,18,935,156,1,credit_card,2017-03-26 12:43
5,18,883,156,1,credit_card,2017-03-01 4:35
6,58,882,138,1,credit_card,2017-03-14 15:25
7,87,915,149,1,cash,2017-03-01 21:37
8,22,761,292,2,cash,2017-03-08 2:05
9,64,914,266,2,debit,2017-03-17 20:56
10,52,788,146,1,credit_card,2017-03-30 21:08
11,66,848,322,2,credit_card,2017-03-26 23:36
12,40,983,322,2,debit,2017-03-12 17:58
13,54,799,266,2,credit_card,2017-03-16 14:15
14,100,709,111,1,cash,2017-03-22 2:39
15,87,849,447,3,credit_card,2017-03-10 11:23
16,42,607,704000,2000,credit_card,2017-03-07 4:00
17,17,731,176,1,cash,2017-03-21 4:23
18,28,752,164,1,credit_card,2017-03-21 12:09
19,83,761,258,2,cash,2017-03-17 13:18
20,63,898,408,3,credit_card,2017-03-29 15:11
21,66,987,322,2,cash,2017-03-30 20:11
22,97,789,486,3,credit_card,2017-03-04 15:44
23,88,985,704,4,credit_card,2017-03-22 1:19
24,75,964,256,2,credit_card,2017-03-12 3:07
25,73,917,495,3,cash,2017-03-03 13:01
26,82,848,177,1,cash,2017-03-25 21:35
27,47,882,145,1,cash,2017-03-22 7:38
28,53,942,112,1,credit_card,2017-03-17 9:41
29,40,944,322,2,cash,2017-03-05 2:12
30,59,790,178,1,credit_card,2017-03-04 22:49
31,76,857,310,2,cash,2017-03-23 21:34
32,57,839,294,2,debit,2017-03-19 5:31
33,76,712,465,3,credit_card,2017-03-10 23:54
34,7,800,224,2,credit_card,2017-03-03 5:31
35,34,704,244,2,debit,2017-03-13 0:00
36,61,781,316,2,cash,2017-03-08 15:57
37,84,979,459,3,credit_card,2017-03-05 22:44
38,66,961,322,2,credit_card,2017-03-14 6:04
39,10,921,148,1,credit_card,2017-03-06 5:51
40,61,756,316,2,credit_card,2017-03-07 17:03
41,42,793,352,1,credit_card,2017-03-24 14:15
42,1,847,316,2,debit,2017-03-20 14:58
43,18,934,624,4,debit,2017-03-21 6:59
44,21,792,284,2,credit_card,2017-03-08 4:16
45,99,759,195,1,credit_card,2017-03-02 8:13
46,29,969,652,4,credit_card,2017-03-04 8:58
47,33,954,346,2,cash,2017-03-25 14:18
48,52,791,438,3,cash,2017-03-05 15:50
49,3,714,296,2,debit,2017-03-20 16:48
50,64,768,399,3,debit,2017-03-02 17:26
51,58,984,276,2,debit,2017-03-23 7:05
52,81,959,531,3,cash,2017-03-25 22:58
53,30,968,459,3,cash,2017-03-28 8:15
54,33,842,692,4,debit,2017-03-08 7:36
55,79,823,181,1,cash,2017-03-25 4:47
56,51,851,561,3,credit_card,2017-03-13 5:05
57,53,739,560,5,credit_card,2017-03-18 8:45
58,51,759,187,1,cash,2017-03-30 22:34
59,47,837,145,1,credit_card,2017-03-13 6:35
60,80,908,145,1,debit,2017-03-27 9:03
61,42,607,704000,2000,credit_card,2017-03-04 4:00
62,60,720,531,3,debit,2017-03-21 18:08
63,86,981,260,2,debit,2017-03-24 6:11
64,91,962,160,1,debit,2017-03-01 19:05
65,72,887,480,3,credit_card,2017-03-02 0:15
66,7,988,112,1,debit,2017-03-29 10:22
67,66,743,322,2,cash,2017-03-01 10:40
68,21,812,284,2,debit,2017-03-03 15:52
69,86,994,390,3,credit_card,2017-03-21 22:05
70,58,876,138,1,debit,2017-03-04 10:38
71,11,725,184,1,credit_card,2017-03-14 17:12
72,34,813,122,1,credit_card,2017-03-20 17:43
73,86,960,130,1,debit,2017-03-04 14:15
74,14,968,116,1,cash,2017-03-22 0:14
75,5,862,142,1,credit_card,2017-03-26 9:14
76,84,744,459,3,cash,2017-03-06 0:39
77,20,975,127,1,cash,2017-03-19 13:05
78,41,985,354,3,cash,2017-03-22 13:41
79,8,806,132,1,credit_card,2017-03-27 3:39
80,20,838,254,2,credit_card,2017-03-03 14:00
81,52,979,584,4,credit_card,2017-03-11 14:30
82,28,868,328,2,debit,2017-03-04 6:53
83,48,857,234,2,cash,2017-03-11 18:14
84,100,817,111,1,cash,2017-03-12 22:10
85,41,707,118,1,debit,2017-03-30 12:05
86,53,908,224,2,credit_card,2017-03-27 20:46
87,56,711,234,2,credit_card,2017-03-17 2:08
88,64,713,399,3,credit_card,2017-03-04 12:15
89,55,998,513,3,credit_card,2017-03-09 13:22
90,28,705,164,1,cash,2017-03-11 18:13
91,50,744,193,1,debit,2017-03-02 6:36
92,3,835,296,2,credit_card,2017-03-09 4:01
93,22,856,146,1,credit_card,2017-03-24 11:47
94,58,810,276,2,debit,2017-03-07 4:27
95,87,961,149,1,cash,2017-03-21 3:20
96,35,975,328,2,credit_card,2017-03-01 6:27
97,70,758,346,2,cash,2017-03-07 14:57
98,92,850,180,2,cash,2017-03-22 19:21
99,79,741,181,1,debit,2017-03-16 0:16
100,18,752,780,5,cash,2017-03-06 23:41
101,77,972,156,1,credit_card,2017-03-17 6:45
102,74,923,612,4,credit_card,2017-03-28 11:00
103,41,964,354,3,cash,2017-03-17 7:59
104,53,740,224,2,cash,2017-03-17 7:29
105,54,803,532,4,cash,2017-03-28 5:30
106,13,746,320,2,cash,2017-03-16 15:04
107,87,953,149,1,cash,2017-03-17 8:03
108,12,732,201,1,credit_card,2017-03-21 20:26
109,58,926,276,2,cash,2017-03-01 3:15
110,58,774,414,3,cash,2017-03-01 10:01
111,83,893,129,1,cash,2017-03-27 7:07
112,68,984,136,1,credit_card,2017-03-11 9:43
113,73,885,165,1,debit,2017-03-06 0:59
114,69,857,262,2,credit_card,2017-03-13 21:33
115,41,755,590,5,cash,2017-03-20 23:15
116,25,791,260,2,credit_card,2017-03-19 21:46
117,6,813,374,2,debit,2017-03-10 14:25
118,61,759,316,2,debit,2017-03-29 22:43
119,84,789,153,1,credit_card,2017-03-05 4:08
120,98,745,266,2,credit_card,2017-03-17 20:34
121,5,774,284,2,credit_card,2017-03-26 8:16
122,13,958,480,3,credit_card,2017-03-22 13:12
123,35,997,492,3,debit,2017-03-05 1:16
124,24,949,280,2,cash,2017-03-11 1:58
125,2,983,188,2,credit_card,2017-03-13 13:07
126,49,884,258,2,cash,2017-03-19 3:22
127,18,839,624,4,debit,2017-03-09 10:47
128,77,817,312,2,credit_card,2017-03-05 18:46
129,63,963,544,4,debit,2017-03-25 5:52
130,51,721,561,3,debit,2017-03-14 3:54
131,75,723,256,2,debit,2017-03-28 6:01
132,33,777,346,2,debit,2017-03-13 18:46
133,53,963,224,2,credit_card,2017-03-03 2:32
134,24,894,280,2,credit_card,2017-03-08 4:56
135,86,845,390,3,cash,2017-03-27 9:54
136,58,742,276,2,debit,2017-03-19 17:25
137,15,961,765,5,credit_card,2017-03-26 5:06
138,34,760,122,1,debit,2017-03-30 17:31
139,5,915,426,3,cash,2017-03-28 0:09
140,55,789,513,3,debit,2017-03-29 16:36
141,57,930,441,3,debit,2017-03-15 12:36
142,73,935,165,1,cash,2017-03-26 14:23
143,80,855,145,1,debit,2017-03-11 1:13
144,80,979,290,2,debit,2017-03-30 10:41
145,21,828,284,2,debit,2017-03-18 20:13
146,72,906,640,4,cash,2017-03-30 9:55
147,100,899,111,1,debit,2017-03-05 16:49
148,57,715,294,2,credit_card,2017-03-17 7:01
149,71,985,164,1,credit_card,2017-03-04 17:21
150,100,847,222,2,debit,2017-03-12 21:36
151,47,718,435,3,credit_card,2017-03-06 5:24
152,16,755,156,1,credit_card,2017-03-03 23:20
153,33,808,173,1,cash,2017-03-13 22:14
154,64,942,266,2,cash,2017-03-21 7:05
155,33,872,173,1,debit,2017-03-29 14:56
156,9,986,118,1,cash,2017-03-13 11:07
157,84,734,306,2,credit_card,2017-03-04 8:05
158,88,906,352,2,credit_card,2017-03-24 5:44
159,92,795,90,1,credit_card,2017-03-29 3:07
160,73,725,330,2,debit,2017-03-22 18:08
161,78,990,25725,1,credit_card,2017-03-12 5:56
162,3,877,296,2,debit,2017-03-20 17:07
163,93,913,228,2,cash,2017-03-26 23:54
164,63,915,272,2,debit,2017-03-01 6:07
165,29,941,489,3,cash,2017-03-09 16:26
166,44,921,144,1,credit_card,2017-03-26 23:17
167,14,754,464,4,debit,2017-03-07 19:47
168,56,913,468,4,credit_card,2017-03-11 19:37
169,48,797,351,3,credit_card,2017-03-08 6:12
170,5,970,284,2,debit,2017-03-24 0:33
171,91,828,480,3,credit_card,2017-03-28 8:18
172,57,724,147,1,debit,2017-03-17 7:08
173,55,778,342,2,cash,2017-03-02 23:54
174,7,956,224,2,debit,2017-03-04 11:33
175,49,918,387,3,debit,2017-03-13 15:25
176,50,792,193,1,credit_card,2017-03-20 13:51
177,97,718,648,4,cash,2017-03-16 6:33
178,57,849,441,3,cash,2017-03-20 5:20
179,30,849,153,1,debit,2017-03-25 4:09
180,37,897,142,1,debit,2017-03-02 22:40
181,12,871,201,1,cash,2017-03-02 4:37
182,20,823,127,1,cash,2017-03-03 16:29
183,86,901,260,2,credit_card,2017-03-16 17:47
184,26,920,176,1,cash,2017-03-08 0:38
185,34,944,488,4,debit,2017-03-24 5:49
186,71,888,328,2,debit,2017-03-30 5:46
187,93,749,228,2,credit_card,2017-03-06 3:43
188,41,980,118,1,cash,2017-03-02 3:13
189,17,734,176,1,cash,2017-03-11 10:36
190,43,928,362,2,debit,2017-03-30 7:00
191,7,805,112,1,credit_card,2017-03-22 5:28
192,26,922,352,2,cash,2017-03-17 17:51
193,28,879,328,2,credit_card,2017-03-15 14:35
194,15,942,153,1,cash,2017-03-13 14:19
195,63,946,408,3,cash,2017-03-12 0:07
196,37,745,426,3,credit_card,2017-03-01 3:00
197,85,809,516,3,debit,2017-03-21 10:58
198,19,960,326,2,debit,2017-03-05 20:01
199,27,976,338,2,credit_card,2017-03-24 16:25
200,56,961,117,1,cash,2017-03-08 22:18
201,29,929,163,1,credit_card,2017-03-15 11:12
202,31,967,258,2,credit_card,2017-03-04 20:47
203,67,768,393,3,cash,2017-03-28 7:25
204,36,785,260,2,credit_card,2017-03-22 19:20
205,39,987,268,2,cash,2017-03-19 5:09
206,89,747,588,3,debit,2017-03-04 4:01
207,16,746,156,1,cash,2017-03-09 21:53
208,88,999,176,1,debit,2017-03-08 11:30
209,88,771,176,1,cash,2017-03-10 5:17
210,37,727,284,2,debit,2017-03-20 11:06
211,13,701,160,1,credit_card,2017-03-04 8:20
212,22,712,292,2,credit_card,2017-03-30 9:40
213,88,787,352,2,credit_card,2017-03-13 17:28
214,26,980,352,2,cash,2017-03-10 13:59
215,54,742,399,3,credit_card,2017-03-27 3:28
216,41,793,236,2,cash,2017-03-17 1:55
217,32,862,202,2,debit,2017-03-09 16:46
218,15,960,306,2,credit_card,2017-03-27 10:44
219,75,978,256,2,cash,2017-03-04 7:50
220,23,884,780,5,credit_card,2017-03-03 20:11
221,21,994,142,1,cash,2017-03-03 4:18
222,57,753,147,1,debit,2017-03-23 7:14
223,96,829,765,5,debit,2017-03-13 15:16
224,68,767,272,2,credit_card,2017-03-07 9:58
225,29,927,163,1,debit,2017-03-02 21:18
226,98,734,133,1,cash,2017-03-08 21:43
227,58,928,138,1,cash,2017-03-18 12:59
228,73,917,330,2,debit,2017-03-19 22:59
229,92,757,90,1,debit,2017-03-13 23:57
230,79,772,362,2,cash,2017-03-28 7:21
231,68,865,272,2,cash,2017-03-04 19:40
232,27,730,338,2,cash,2017-03-03 5:49
233,6,865,374,2,cash,2017-03-08 4:40
234,95,761,336,2,credit_card,2017-03-29 1:14
235,29,719,326,2,cash,2017-03-22 21:56
236,60,938,531,3,debit,2017-03-29 13:49
237,92,837,180,2,credit_card,2017-03-18 20:51
238,99,835,585,3,debit,2017-03-03 17:45
239,2,932,188,2,debit,2017-03-17 0:45
240,68,967,136,1,cash,2017-03-09 13:15
241,88,876,176,1,credit_card,2017-03-08 18:10
242,34,953,244,2,debit,2017-03-01 12:27
243,38,881,570,3,credit_card,2017-03-13 19:44
244,93,861,114,1,credit_card,2017-03-03 5:19
245,32,928,202,2,cash,2017-03-30 9:30
246,92,890,360,4,cash,2017-03-18 17:42
247,62,786,160,1,cash,2017-03-12 23:19
248,26,854,176,1,debit,2017-03-21 19:08
249,33,728,173,1,cash,2017-03-29 22:04
250,77,732,156,1,debit,2017-03-20 4:20
251,96,932,306,2,credit_card,2017-03-14 5:28
252,75,892,256,2,debit,2017-03-24 23:34
253,76,746,310,2,cash,2017-03-06 15:21
254,100,753,222,2,debit,2017-03-04 11:23
255,18,843,156,1,credit_card,2017-03-21 0:14
256,6,794,187,1,cash,2017-03-18 19:59
257,79,844,362,2,credit_card,2017-03-07 20:21
258,6,842,374,2,credit_card,2017-03-18 10:12
259,75,760,512,4,cash,2017-03-18 8:19
260,99,963,780,4,credit_card,2017-03-25 11:41
261,52,830,146,1,credit_card,2017-03-13 18:19
262,17,775,176,1,credit_card,2017-03-24 14:06
263,9,871,236,2,debit,2017-03-17 0:50
264,97,827,324,2,debit,2017-03-03 1:06
265,16,950,780,5,credit_card,2017-03-24 7:32
266,69,871,262,2,debit,2017-03-20 16:59
267,12,879,201,1,cash,2017-03-14 12:22
268,73,790,330,2,credit_card,2017-03-19 19:03
269,56,733,234,2,credit_card,2017-03-07 3:50
270,6,986,187,1,credit_card,2017-03-18 20:16
271,33,926,173,1,debit,2017-03-17 9:08
272,12,727,402,2,credit_card,2017-03-24 22:40
273,32,839,202,2,debit,2017-03-14 5:00
274,34,803,122,1,cash,2017-03-03 9:05
275,5,967,426,3,cash,2017-03-03 7:38
276,55,989,171,1,credit_card,2017-03-25 15:16
277,49,777,129,1,cash,2017-03-30 21:49
278,51,954,374,2,credit_card,2017-03-17 4:59
279,54,763,266,2,cash,2017-03-29 5:18
280,4,869,128,1,credit_card,2017-03-05 8:27
281,90,807,534,3,debit,2017-03-27 23:41
282,6,836,561,3,debit,2017-03-14 2:26
283,71,700,492,3,cash,2017-03-26 4:43
284,9,772,354,3,debit,2017-03-04 13:49
285,64,711,399,3,debit,2017-03-11 20:07
286,77,742,156,1,cash,2017-03-14 2:40
287,58,860,414,3,debit,2017-03-15 21:12
288,54,945,266,2,credit_card,2017-03-23 17:42
289,47,806,290,2,debit,2017-03-24 17:51
290,50,803,386,2,debit,2017-03-30 5:45
291,33,858,346,2,credit_card,2017-03-12 8:03
292,5,890,142,1,credit_card,2017-03-29 21:22
293,19,936,326,2,cash,2017-03-21 3:53
294,51,918,561,3,cash,2017-03-14 13:22
295,11,738,184,1,cash,2017-03-06 10:03
296,38,835,190,1,debit,2017-03-21 6:36
297,79,791,181,1,credit_card,2017-03-22 17:03
298,70,818,346,2,debit,2017-03-04 17:30
299,53,928,112,1,credit_card,2017-03-12 19:19
300,29,964,489,3,debit,2017-03-11 4:36
301,70,882,173,1,credit_card,2017-03-17 2:51
302,69,854,131,1,debit,2017-03-19 18:35
303,25,815,390,3,cash,2017-03-09 22:00
304,15,952,153,1,cash,2017-03-10 17:49
305,94,916,268,2,cash,2017-03-29 22:46
306,25,701,390,3,cash,2017-03-24 19:36
307,34,924,122,1,debit,2017-03-02 17:32
308,60,992,354,2,cash,2017-03-12 19:44
309,42,770,352,1,credit_card,2017-03-11 18:14
310,5,704,284,2,credit_card,2017-03-20 7:50
311,79,720,181,1,debit,2017-03-16 3:29
312,76,836,310,2,debit,2017-03-22 9:16
313,96,718,459,3,cash,2017-03-10 20:06
314,24,938,420,3,credit_card,2017-03-14 7:24
315,6,712,374,2,credit_card,2017-03-25 11:59
316,2,865,282,3,debit,2017-03-17 0:21
317,11,880,368,2,credit_card,2017-03-21 14:56
318,52,848,292,2,cash,2017-03-30 23:41
319,83,951,258,2,debit,2017-03-04 5:10
320,23,840,156,1,cash,2017-03-04 3:55
321,36,888,260,2,debit,2017-03-15 22:33
322,10,877,296,2,credit_card,2017-03-12 7:12
323,92,783,90,1,debit,2017-03-08 3:49
324,75,893,128,1,credit_card,2017-03-05 0:04
325,79,887,181,1,debit,2017-03-19 10:55
326,14,779,232,2,credit_card,2017-03-15 7:05
327,12,920,201,1,debit,2017-03-26 19:24
328,75,832,128,1,credit_card,2017-03-16 12:54
329,83,946,258,2,credit_card,2017-03-26 6:35
330,36,763,260,2,credit_card,2017-03-21 19:32
331,80,990,290,2,cash,2017-03-18 22:26
332,40,776,322,2,cash,2017-03-12 15:02
333,57,794,441,3,credit_card,2017-03-22 0:43
334,68,968,272,2,debit,2017-03-02 15:39
335,44,829,432,3,debit,2017-03-23 21:27
336,92,853,180,2,cash,2017-03-27 12:53
337,18,969,468,3,debit,2017-03-26 0:49
338,91,811,640,4,credit_card,2017-03-10 13:14
339,52,892,146,1,debit,2017-03-17 5:02
340,35,893,656,4,cash,2017-03-15 11:25
341,7,826,336,3,debit,2017-03-17 15:13
342,54,735,399,3,credit_card,2017-03-17 22:49
343,98,999,266,2,cash,2017-03-23 3:32
344,63,743,136,1,credit_card,2017-03-07 1:45
345,84,726,459,3,credit_card,2017-03-03 12:54
346,72,818,160,1,debit,2017-03-05 12:53
347,40,758,161,1,credit_card,2017-03-05 2:54
348,1,907,158,1,credit_card,2017-03-03 6:59
349,31,759,387,3,debit,2017-03-24 2:21
350,80,864,145,1,debit,2017-03-25 23:51
351,98,958,133,1,cash,2017-03-04 5:55
352,34,956,244,2,debit,2017-03-01 10:21
353,95,718,336,2,debit,2017-03-14 18:44
354,31,923,258,2,debit,2017-03-14 5:30
355,3,797,148,1,cash,2017-03-10 18:58
356,54,804,266,2,cash,2017-03-19 15:41
357,14,806,232,2,credit_card,2017-03-28 15:04
358,33,790,519,3,credit_card,2017-03-11 17:23
359,14,852,232,2,debit,2017-03-17 13:35
360,5,886,284,2,credit_card,2017-03-14 6:28
361,80,963,435,3,debit,2017-03-11 8:31
362,90,933,534,3,cash,2017-03-16 7:20
363,53,972,224,2,debit,2017-03-14 20:57
364,58,889,414,3,debit,2017-03-04 18:43
365,100,784,111,1,debit,2017-03-02 3:36
366,11,974,368,2,credit_card,2017-03-08 0:59
367,98,803,399,3,cash,2017-03-26 10:40
368,20,917,381,3,credit_card,2017-03-06 17:28
369,92,906,180,2,cash,2017-03-05 0:22
370,28,901,164,1,credit_card,2017-03-25 4:37
371,22,736,292,2,credit_card,2017-03-18 10:01
372,37,986,426,3,credit_card,2017-03-05 8:46
373,98,807,133,1,credit_card,2017-03-21 6:33
374,72,713,480,3,debit,2017-03-18 16:44
375,1,948,632,4,cash,2017-03-10 13:40
376,35,752,328,2,credit_card,2017-03-28 19:46
377,40,986,322,2,credit_card,2017-03-02 12:05
378,10,794,148,1,cash,2017-03-26 14:07
379,35,848,328,2,debit,2017-03-03 20:59
380,57,920,147,1,credit_card,2017-03-03 0:44
381,15,749,153,1,credit_card,2017-03-09 8:30
382,35,828,164,1,cash,2017-03-10 13:56
383,80,867,435,3,credit_card,2017-03-30 17:30
384,30,858,459,3,cash,2017-03-18 14:01
385,11,868,368,2,debit,2017-03-08 4:27
386,68,900,272,2,debit,2017-03-08 23:01
387,30,768,153,1,cash,2017-03-13 13:42
388,35,891,164,1,debit,2017-03-03 0:43
389,1,713,316,2,cash,2017-03-12 22:22
390,23,929,468,3,credit_card,2017-03-12 17:23
391,7,718,336,3,credit_card,2017-03-20 17:25
392,84,862,459,3,credit_card,2017-03-20 16:41
393,63,936,272,2,credit_card,2017-03-01 20:51
394,69,736,131,1,cash,2017-03-19 20:59
395,46,804,166,1,credit_card,2017-03-28 17:53
396,43,989,362,2,debit,2017-03-21 23:17
397,7,949,224,2,debit,2017-03-29 4:46
398,52,786,292,2,credit_card,2017-03-09 11:35
399,22,749,438,3,cash,2017-03-13 14:53
400,73,894,495,3,credit_card,2017-03-06 1:57
401,35,704,328,2,cash,2017-03-07 7:57
402,79,771,543,3,debit,2017-03-12 3:45
403,59,753,178,1,credit_card,2017-03-13 4:30
404,43,951,543,3,credit_card,2017-03-01 23:52
405,11,850,368,2,credit_card,2017-03-18 0:20
406,37,791,142,1,debit,2017-03-25 16:21
407,29,976,163,1,cash,2017-03-08 21:31
408,48,954,351,3,debit,2017-03-09 1:22
409,55,991,171,1,credit_card,2017-03-09 12:51
410,42,904,704,2,credit_card,2017-03-04 14:32
411,32,785,202,2,cash,2017-03-21 7:11
412,15,927,153,1,credit_card,2017-03-11 22:15
413,38,867,190,1,debit,2017-03-05 0:39
414,94,934,402,3,debit,2017-03-13 17:36
415,98,859,266,2,credit_card,2017-03-28 14:01
416,40,879,161,1,cash,2017-03-12 6:38
417,71,991,492,3,debit,2017-03-11 15:27
